Date,APG1L.VS,ARC1T.TL,AUG1L.VS,BLT1T.TL,CPA1T.TL,DGR1R.RG,EEG1T.TL,EGR1T.TL,GRG1L.VS,HAE1T.TL,HMX1R.RG,HPR1T.TL,IGN1L.VS,KNF1L.VS,LHV1T.TL,MRK1T.TL,NCN1T.TL,NTU1L.VS,PKG1T.TL,PTR1L.VS,PZV1L.VS,RSU1L.VS,SAB1L.VS,SFG1T.TL,TAL1T.TL,TEL1L.VS,TKM1T.TL,TSM1T.TL,TVE1T.TL,VLP1L.VS
2022-08-31,0.6151856519777241,0.6042758622201774,-0.8198448536319812,-1.8325814861000522,0.8704562003226889,0.3989077279530678,0.48858001189328965,1.5129270036508398,-0.31471071871163714,1.6639261374545993,1.9286186685791065,2.312535461616493,2.9057683707042434,-1.3842963841550289,1.252762968495368,2.5922651424106884,-0.18032357982909283,1.1442228333291342,-0.23572230635945995,-0.6161860996873879,0.1988508821961727,1.1249295722147212,-0.5586162409189821,-0.11093158201843982,-0.6772737994893577,0.6729444927051669,2.294552928987703,0.3407488062759638,2.5494451858267326,1.5851452433160633
2022-09-01,0.6124792929993899,0.5978033950922321,-0.8130574498157106,-1.8325814861000522,0.8424288947756484,0.4028891773039414,0.47623418788153604,1.5146875448540327,-0.33687233534204925,1.6582280766035324,1.9286186685791065,2.2854389263977377,2.9131486130363355,-1.3842963841550289,1.2354714880191613,2.5877640495686753,-0.1827216316633923,1.1085626100789578,-0.2484613959782817,-0.5978369790812044,0.2311117133945428,1.118414897264793,-0.5568695381342781,-0.05192506472845222,-0.6792442180200154,0.6703902153889116,2.298577075426524,0.33504264517595944,2.538447404663274,1.5830939135953364
2022-09-02,0.601580013162518,0.5934649815204724,-0.8139597886163235,-1.870802681987112,0.8586615745865962,0.4068548375585938,0.47623418788153604,1.5151272748826083,-0.3424903391688498,1.6639261374545993,1.9459101490553132,2.296566978453522,2.9099922895397676,-1.3842963841550289,1.226712316465715,2.5922651424106884,-0.19845094744646924,1.0986122886681098,-0.2484613959782817,-0.6198967418645278,0.22314355131420976,1.1249295722147212,-0.5568695381342781,-0.0749390869728601,-0.6753072558739324,0.6729444927051669,2.292534718608248,0.3364722195913143,2.541601978446052,1.5810384653845018
2022-09-05,0.601580013162518,0.5934649815204724,-0.8209805574884342,-1.8643301543719686,0.8415671569035621,0.4055347239100259,0.47000364414689666,1.5098385522683901,-0.3652833102303097,1.6582280766035324,1.9401794798272152,2.290512523342865,2.9047096495906572,-1.3862943611198906,1.2149127104055404,2.5862591239406965,-0.2021162185571315,1.088561962447682,-0.2561834195619897,-0.6161860996873879,0.22314355131420976,1.0986122886681098,-0.5691612277379458,-0.08349031039535396,-0.6792442180200154,0.6652620040380635,2.2935443329445313,0.3506568413910955,2.541601978446052,1.5727739636769018
2022-09-06,0.5988365299085318,0.6213338284599328,-0.8209805574884342,-1.8420006804000382,0.8458682348334261,0.4028891773039414,0.47000364414689666,1.5058535733299638,-0.373966407088008,1.6486585889075995,1.9430489195068723,2.2793165129086996,2.903649806398602,-1.388296337989756,1.21342796593079,2.58475200201879,-0.19723219392332744,1.0851892812234596,-0.3011050798964309,-0.6161860996873879,0.21913553374668826,1.0986122886681098,-0.570929552055494,-0.08904982965619809,-0.6772737994893577,0.6678293970288427,2.292534718608248,0.3407488062759638,2.541601978446052,1.5727739636769018
2022-09-07,0.604315990304337,0.6149372147385077,-0.8370175548339891,-1.8388511119998723,0.8484400502689449,0.39223660230802887,0.4637340372249708,1.5116045344169113,-0.3710636848461737,1.6486585889075995,1.9459101490553132,2.287471493911888,2.9057683707042434,-1.3903023906562164,1.2119409427536318,2.589266642201148,-0.19845094744646924,1.0804483517071484,-0.3065251583096311,-0.6124892854604511,0.21511138730786739,1.0986122886681098,-0.5780343921589373,-0.1018112985623203,-0.6931471805599453,0.6652620040380635,2.291524180348751,0.3364722195913143,2.541601978446052,1.5623463009016154
2022-09-08,0.604315990304337,0.6181407004212086,-0.8370175548339891,-1.8420006804000382,0.8518589148416754,0.3949104435922023,0.4637340372249708,1.518199460417819,-0.4094731675665012,1.6563214546532101,1.9257074612005347,2.297572532001168,2.9047096495906572,-1.388296337989756,1.2119409427536318,2.5862591239406965,-0.1996711881424426,1.0619482904464763,-0.3065251583096311,-0.6236210930019316,0.21107098166302932,1.1052568250710544,-0.570929552055494,-0.0943106506514135,-0.6891552105836493,0.6678293970288427,2.292534718608248,0.33504264517595944,2.543175578904807,1.5644405903963239
2022-09-09,0.6070445022950743,0.6160061839627847,-0.8379417849731596,-1.8388511119998723,0.8687797756051604,0.39624464786491276,0.4637340372249708,1.5199507517730892,-0.4094731675665012,1.6563214546532101,1.90210749792903,2.312535461616493,2.9110454354936532,-1.406497048974669,1.226712316465715,2.5877640495686753,-0.19845094744646924,1.0660891120689608,-0.3065251583096311,-0.6236210930019316,0.20701418489122547,1.1052568250710544,-0.5638748347994865,-0.09343196657167635,-0.6792442180200154,0.6652620040380635,2.292534718608248,0.3393253368493586,2.541601978446052,1.5665304034589465
2022-09-12,0.604315990304337,0.6255756398844289,-0.8439700536606747,-1.8871696438035332,0.8878912848245564,0.39624464786491276,0.4668737541742557,1.5133674033695244,-0.3886080304265223,1.6582280766035324,1.9315214254245805,2.3145136525509282,2.915247169784353,-1.410587042451994,1.2470322992672698,2.5922651424106884,-0.1996711881424426,1.0647107698777492,-0.3092462133380336,-0.634878326417536,0.19474410426461106,1.118414897264793,-0.5586162409189821,-0.08894050398050474,-0.669430606445179,0.6678293970288427,2.292534718608248,0.3506568413910955,2.543175578904807,1.5665304034589465
2022-09-13,0.6151856519777241,0.6266332395125213,-0.8458322831128676,-1.8773173762891981,0.8837675716950182,0.4028891773039414,0.4637340372249708,1.5049659323383133,-0.36816936401965955,1.6601310702632746,1.9344157806547146,2.304583141341715,2.9110454354936532,-1.4146938326981493,1.2281774818523368,2.5952546784889754,-0.2045671686666557,1.0577903338842836,-0.328504027235607,-0.6236210930019316,0.1906203911350729,1.118414897264793,-0.5586162409189821,-0.0943106506514135,-0.6812186445622114,0.6703902153889116,2.292534718608248,0.34217025231724657,2.5400259730765704,1.5644405903963239
